"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.108689","102","370","243","0.0764047","0.0901265","2959","2450","0","0","0","0","0","0.0693629","0.139257","4398","307","4119","0","0","0","0","0","0","0","0","0","1","0","0","27184","38728","695","536","26","8","166","170","29","4895","12356","305","134","7","29","15","4746","50","0","0","13493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","redis","redis","L100","L103","0.108689","102","370","243","0.0764047","0.0901265","2959","2450","0","0","0","0","0","0.0693629","0.139257","4398","307","4119","0","0","0","0","0","0","0","0","0","1","0","0","27184","38728","695","536","26","8","166","170","29","4895","12356","305","134","7","29","14","4746","50","0","0","13493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","clients","redis.clients","L104","L103","0.108689","102","370","243","0.0764047","0.0901265","2959","2450","0","0","0","0","0","0.0693629","0.139257","4398","307","4119","0","0","0","0","0","0","0","0","0","2","0","0","27184","38728","695","536","26","8","166","170","29","4895","12356","305","134","7","29","13","4746","50","0","0","13493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","jedis","redis.clients.jedis","L105","L103","0.111476","101","364","241","0.0306748","0.0357853","40","36","0.0995763","0.193008","3688","235","2125","0.0683028","0.140418","4277","295","4024","15420","22097","435","413","7","104","0","2813","299","4","2729","21","26182","37367","663","519","25","8","151","141","28","4774","11867","300","120","7","28","11","4645","49","0","0","13177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20623","util","redis.clients.util","L105","L103","0.0346796","1","6","2","0","0","0","0","0.11215","0.107747","121","12","95","0.11215","0.107747","121","12","95","1002","1361","32","17","0","29","1","121","5","0","101","1","1002","1361","32","17","9","0","15","29","1","121","489","5","14","0","1","0","101","1","0","0","316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6917","commands","redis.clients.jedis.commands","L106","L103","0","0","0","0","0","0","0","0","0.0303502","0.0963275","160","39","1246","0.0303502","0.0963275","160","39","1246","1501","3010","0","0","0","9","28","1257","0","0","1257","0","1501","3010","0","0","10","0","28","9","28","1257","0","0","0","0","28","0","1257","0","0","0","2633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11259","exceptions","redis.clients.jedis.exceptions","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","0","54","180","255","15","13","0","2","0","41","0","0","41","0","180","255","15","13","10","0","13","2","0","41","47","0","13","0","0","0","41","0","0","0","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16154","params","redis.clients.jedis.params","L106","L103","0.105675","1","8","2","0","0","0","0","0","0","0","0","4","0.333333","0.190972","55","10","20","40","55","1","1","0","2","0","5","0","3","3","0","233","367","16","5","13","0","5","6","0","31","101","0","5","0","0","3","25","2","0","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18305","tests","redis.clients.jedis.tests","L106","L103","0.17847","63","189","136","0","0","0","0","0.049505","0.0471139","151","10","192","0.0186441","0.0405552","374","11","579","3054","3861","53","25","1","13","0","218","1","4","199","7","8848","11638","197","88","14","1","57","20","0","632","5695","1","57","0","0","4","593","26","0","0","2410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16157","geo","redis.clients.jedis.params.geo","L16154","L103","0.214286","1","4","1","0.135802","0.163934","11","10","0","0.031746","2","0","8","0","0.031746","2","0","8","61","81","5","1","0","1","0","8","0","0","7","0","61","81","5","1","11","0","1","1","0","8","27","0","1","0","0","0","7","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16217","set","redis.clients.jedis.params.set","L16154","L103","0.235808","1","4","1","0.127907","0.192308","11","10","0.571429","0.257143","18","4","3","0.571429","0.257143","18","4","3","52","86","4","1","0","1","0","7","0","0","6","2","52","86","4","1","11","0","1","1","0","7","23","0","1","0","0","0","6","2","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16244","sortedset","redis.clients.jedis.params.sortedset","L16154","L103","0","0","0","0","0","0","0","0","0.545455","0.304348","35","6","5","0.545455","0.304348","35","6","5","80","145","6","2","0","2","0","11","0","0","9","0","80","145","6","2","11","0","2","2","0","11","33","0","2","0","0","0","9","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18325","benchmark","redis.clients.jedis.tests.benchmark","L18305","L103","0.148066","2","8","4","0","0","0","0","0.0625","0.0136519","4","1","15","0.0625","0.0136519","4","1","15","289","385","14","9","0","0","0","13","0","0","9","0","289","385","14","9","11","0","8","0","0","13","180","0","8","0","0","0","9","0","0","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18491","collections","redis.clients.jedis.tests.collections","L18305","L103","0","0","0","0","0","0","0","0","0","0.16092","14","0","5","0","0.16092","14","0","5","73","118","1","1","0","0","0","5","0","0","4","2","73","118","1","1","11","0","1","0","0","5","46","0","1","0","0","0","4","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18551","commands","redis.clients.jedis.tests.commands","L18305","L103","0.207765","48","129","102","0.0617284","0.0754717","40","36","0","0.0370576","200","0","339","0","0.0370576","200","0","339","5197","6967","128","45","0","5","0","370","0","0","358","17","5197","6967","128","45","11","0","23","5","0","370","3538","0","23","0","0","0","358","17","0","0","1469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20512","utils","redis.clients.jedis.tests.utils","L18305","L103","0","0","0","0","0","0","0","0","0","0.0208333","5","0","28","0","0.0208333","5","0","28","235","307","1","8","0","2","0","26","0","0","23","0","235","307","1","8","11","0","7","2","0","26","98","0","7","0","0","0","23","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
